part_id,vehicle_id,fitment,adapter_notes,source_url,confidence,evidence
ebmx-xlb-60-mount-and-harness-e-ride,e-ride-pro-mini,direct,,https://chargedcycleworks.com/products/ebmx-xlb-60-mount-and-harness-set-for-e-ride,high,"ies (E-Ride Pro,Mini,S,SS,SR)"
dunlop-mx33-70-100-19,e-ride-pro-s,platform,Verify crown/swingarm clearance,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page fitment list; 70/100-19 called out as e-moto size
dunlop-mx33-90-100-16,e-ride-pro-s,platform,16in rear conversion size,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page lists 90/100-16 among e-moto sizes
ebmx-extended-swingarm,e-ride-pro-s,direct,Select E Ride Pro SS 2.0 variant on Charged; REVRides excludes 3.0/SR on standard arm,https://chargedcycleworks.com/products/ebmx-extended-swingarm,high,"Charged: E Ride Pro S, E Ride Pro SS 2.0"
ebmx-x-9000-controller-1-2-harness-for-bc351-color-display-v2,e-ride-pro-s,direct,,https://chargedcycleworks.com/products/ebmx-x-9000-controller-1-2-harness-for-bc351-color-display,high,Works with E-Ride Pro S / SS 2.0 V2 con
ebmx-x-9000-controller-e-ride-pro-harness-plus-mounting-kit-plus-bashguard-v3,e-ride-pro-s,direct,,https://chargedcycleworks.com/products/x-9000-controller-eride-pro-harness-mounting-kit-and-bashguard-v3,high,Designed for E-Ride Pro S / SS 2.0 (V3 ba
ebmx-xlb-60-core,e-ride-pro-s,adapter,Darwin lists E Ride Pro S / SS 2.0,https://darwinev.com/products/ebmx-xlb-60-core-motor/,medium,Darwin: E Ride Pro SS 2.0 / S
ebmx-xlb-60-mount-and-harness-e-ride,e-ride-pro-s,direct,,https://chargedcycleworks.com/products/ebmx-xlb-60-mount-and-harness-set-for-e-ride,high,E-Ride Pro series (E-Ride Pr
formula-e-moto-brakes,e-ride-pro-s,direct,Mineral-oil 203/220mm bikes only; no e-brake sensor,https://chargedcycleworks.com/products/formula-e-moto-brakes,high,"Charged: Fits mineral oil bikes (Surron Light Bee, Talaria MX3/MX4, E Ride Pro S and SS 2.0)"
gritshift-heavy-hitter-lightning-stop,e-ride-pro-s,adapter,Bracket+rotor only; needs Brembo P32/P34 + Magura/Brembo master. Talaria spacer included.,https://revrides.com/products/heavy-hitter-lightning-stop-mx-conversion-big-brake-kit,medium,"REVRides fitment: Sur Ron LBX, Segway X260/X160, Talaria MX3/MX4/XXX, Eride Pro/SS, 79bike Falcon-M"
kke-19-16-excel-surron-eride,e-ride-pro-s,direct,Stock disc and sprocket,https://chargedcycleworks.com/products/kke-19-16-e-moto-wheels-excel-takasago-rims-fit-surron-light-bee-x-e-ride-pro-ss-collective,high,"Charged fitment: Surron Light Bee S/X, E Ride Pro S, E Ride Pro SS 2.0, Ventus One"
magura-mt5,e-ride-pro-s,platform,One-side kit; flip for F or R; typically loses brake-light sensor,https://surronoffroadusa.com/product/magura-mt5-brake-system-1-side-front-or-rear/,medium,"Vendor compatibility: Sur Ron, Talaria, Eride Pro and similar e-bikes"
rfloxa-max-triple-clamp,e-ride-pro-s,adapter,FastAce AHX12RV/ALX13RC or RFLoXa FCG31/32. Talaria needs lower-bearing spacer.,https://www.rflo-xa.com/products/rfloxa-max-triple-clamp-for-fastace-ahx12rv-alx13rc-front-fork-for-surron-talaria,high,"Official: Talaria Sting MX3/MX4/MX5, Sur-Ron Light Bee, and Eride Pro"
shinko-241-275-19,e-ride-pro-s,platform,19in front/rear size; confirm rim width. Sold each.,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides fitment list includes these e-moto models; size 2.75-19 PN 87-4446
shinko-241-300-16,e-ride-pro-s,platform,16in rear — typically a 19/16 conversion not stock 19/19 Ultra Bee,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides same platform list; size 3.00-16 PN 87-4441
tb-moto-brake-caliper-bracket-front,e-ride-pro-s,adapter,Moto caliper + 240mm moto rotor. SS 2.0 only with Fastace fork.,https://tbelectricmoto.com/products/moto-brake-conversion-kit-front-caliper-mounting-bracket,high,TB Electric front bracket fitment list
volar-sport-full-brake-kit,e-ride-pro-s,adapter,Order Surron vs Talaria fitment. E-Ride SS 2.0 older RST fork has own adapter; Fastace uses Surron. 14-21in wheels.,https://revrides.com/products/volar-sport-full-brake-kit-front-rear-for-e-ride-pro-sur-ron-talaria-more,high,REVRides bike fitment list names these platforms and Surron vs Talaria mount brackets
warp9-17x250-lbx-eride-79bike,e-ride-pro-s,direct,Supermoto 17x2.50 both ends,https://warp9racing.com/products/surron-light-bee-eride-pro-s-ss-2-0-ventus-79-bike-falcon-19-16-wheel-set-copy-1,high,Official: same platform list as 19/16 LBX/Eride set
warp9-18-21-surron-eride,e-ride-pro-s,adapter,Requires 220mm brake rotor adapters F/R; 21in fork clearance,https://chargedcycleworks.com/products/18-21-complete-wheel-tire-combo-warp9-for-surron-segway,high,Charged: Surron Light Bee (requires 220 brake rotor adapters); E-Ride Pro S (requires adapters)
warp9-19-16-lbx-eride-79bike,e-ride-pro-s,direct,Bare wheel reuses OEM rotor/sprocket bolt pattern,https://warp9racing.com/products/lbx-eride-pro-19-16-wheel-set,high,"Official: spec'd for SurRon Light Bee X, E Ride Pro S / SS / 2.0, Ventus, 79Bike Falcon"
warp9-220mm-caliper-adapter,e-ride-pro-s,platform,Dealer fitment list; official page does not enumerate these,https://revrides.com/products/warp-9-220mm-rear-brake-rotor-adapter,medium,REVRides fitment list for Warp 9 220mm rear adapter
warp9-fastace-drop-crown,e-ride-pro-s,adapter,Only with FastAce AHX12RV/AHX12RVP/ALX13RC. Needs direct bar mount + 220/240 rotor. Not OEM Talaria forks.,https://warp9racing.com/products/fastace-triple-clamps,high,"Official: Talaria Sting MX3/MX4, Sur-Ron Light Bee, and Eride Pro; FastAce AHX12RV & ALX13RC"
warp9-rear-420-sprocket-54t,e-ride-pro-s,direct,54T needs ~110-link chain; stock chain only to 48T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-58t,e-ride-pro-s,direct,58T typically ~112-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-64t,e-ride-pro-s,direct,64T typically ~116-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
dunlop-mx33-70-100-19,e-ride-pro-sr,platform,Verify crown/swingarm clearance,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page fitment list; 70/100-19 called out as e-moto size
dunlop-mx33-90-100-16,e-ride-pro-sr,platform,16in rear conversion size,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page lists 90/100-16 among e-moto sizes
ebmx-extended-swingarm,e-ride-pro-sr,direct,Charged CCW Edition variant ($889) only — not the $789 LBX/SS2.0 arm,https://chargedcycleworks.com/products/ebmx-extended-swingarm,medium,Charged variant: CCW Edition E Ride Pro 3.0 / SR
ebmx-x-9000-controller-e-ride-pro-harness-plus-mounting-kit-plus-bashguard-v3,e-ride-pro-sr,incompatible,,https://chargedcycleworks.com/products/x-9000-controller-eride-pro-harness-mounting-kit-and-bashguard-v3,high,vendor text: does not fit this model
ebmx-x-9000-e-ride-pro-sr-installation-kit-v3,e-ride-pro-sr,direct,,https://chargedcycleworks.com/products/ebmx-x-9000-e-ride-pro-sr-installation-kit-v3,high,3 EBMX X-9000 + E-Ride Pro SR motor
ebmx-xlb-60-mount-and-harness-e-ride,e-ride-pro-sr,direct,,https://chargedcycleworks.com/products/ebmx-xlb-60-mount-and-harness-set-for-e-ride,high,Compatible Motors text
ext-ferro-brake-adapter-e-ride-pro-3-0-sr,e-ride-pro-sr,direct,,https://chargedcycleworks.com/products/ext-ferro-brake-adapter-for-e-ride-pro-3-0-sr,high,title says EXT Ferro Brake Adapter (E-Ride Pro 3.0 / SR)
formula-e-moto-brakes,e-ride-pro-sr,incompatible,Factory DOT brake bikes,https://chargedcycleworks.com/products/formula-e-moto-brakes,high,"Charged: Does NOT fit E Ride Pro 3.0/SR, Talaria MX5, Altis Sigma"
shinko-241-275-19,e-ride-pro-sr,platform,19in front/rear size; confirm rim width. Sold each.,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides fitment list includes these e-moto models; size 2.75-19 PN 87-4446
shinko-241-300-16,e-ride-pro-sr,platform,16in rear — typically a 19/16 conversion not stock 19/19 Ultra Bee,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides same platform list; size 3.00-16 PN 87-4441
warp9-220mm-caliper-adapter,e-ride-pro-sr,platform,Dealer fitment list; official page does not enumerate these,https://revrides.com/products/warp-9-220mm-rear-brake-rotor-adapter,medium,REVRides fitment list for Warp 9 220mm rear adapter
warp9-steerlock-stem-lock,e-ride-pro-sr,platform,"Dealer list, not official Warp9 tags",https://tbelectricmoto.com/products/warp-9-stem-lock,medium,"TB Electric bike fitment includes MX5, E-Ride Pro SS 1/2/3, SR"
dunlop-mx33-70-100-19,e-ride-pro-ss-2,platform,Verify crown/swingarm clearance,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page fitment list; 70/100-19 called out as e-moto size
dunlop-mx33-90-100-16,e-ride-pro-ss-2,platform,16in rear conversion size,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page lists 90/100-16 among e-moto sizes
ebmx-extended-swingarm,e-ride-pro-ss-2,direct,Select E Ride Pro SS 2.0 variant on Charged; REVRides excludes 3.0/SR on standard arm,https://chargedcycleworks.com/products/ebmx-extended-swingarm,high,"Charged: E Ride Pro S, E Ride Pro SS 2.0"
ebmx-x-9000-controller-1-2-harness-for-bc351-color-display-v2,e-ride-pro-ss-2,direct,,https://chargedcycleworks.com/products/ebmx-x-9000-controller-1-2-harness-for-bc351-color-display,high,E-Ride Pro S / SS 2.0 V2 controller
ebmx-x-9000-controller-e-ride-pro-harness-plus-mounting-kit-plus-bashguard-v3,e-ride-pro-ss-2,direct,,https://chargedcycleworks.com/products/x-9000-controller-eride-pro-harness-mounting-kit-and-bashguard-v3,high,E-Ride Pro S / SS 2.0 (V3 battery c
ebmx-xlb-60-core,e-ride-pro-ss-2,adapter,Harness adapters required,https://www.ebmx.com/xlb-60-core,high,Official: Eride Pro SS (harness adapters required)
ebmx-xlb-60-race,e-ride-pro-ss-2,adapter,Harness adapters required; ECR names SS 2.0,https://www.ebmx.com/xlb-60-race,high,Official: Eride Pro SS (harness adapters required)
fastace-four-piston-kit,e-ride-pro-ss-2,platform,Power-off sensor only on Talaria MX3/MX4; others without cut-off,https://eoffroadparts.com/products/hydraulic-disc-brakes-kit-for-talaria-mx3-r-mx4-xxx-segway-x160-x260-sur-ron-light-bee-x-79-bikes-e-ride-pro-ss,medium,"Listing: Talaria MX3/MX4/XXX, Light Bee X, X160/X260, 79Bike Falcon M, E Ride Pro-SS"
formula-e-moto-brakes,e-ride-pro-ss-2,direct,Mineral-oil 203/220mm bikes only; no e-brake sensor,https://chargedcycleworks.com/products/formula-e-moto-brakes,high,"Charged: Fits mineral oil bikes (Surron Light Bee, Talaria MX3/MX4, E Ride Pro S and SS 2.0)"
gritshift-heavy-hitter-lightning-stop,e-ride-pro-ss-2,adapter,Bracket+rotor only; needs Brembo P32/P34 + Magura/Brembo master. Talaria spacer included.,https://revrides.com/products/heavy-hitter-lightning-stop-mx-conversion-big-brake-kit,medium,"REVRides fitment: Sur Ron LBX, Segway X260/X160, Talaria MX3/MX4/XXX, Eride Pro/SS, 79bike Falcon-M"
kke-19-16-excel-surron-eride,e-ride-pro-ss-2,direct,Stock disc and sprocket,https://chargedcycleworks.com/products/kke-19-16-e-moto-wheels-excel-takasago-rims-fit-surron-light-bee-x-e-ride-pro-ss-collective,high,"Charged fitment: Surron Light Bee S/X, E Ride Pro S, E Ride Pro SS 2.0, Ventus One"
rfloxa-max-triple-clamp,e-ride-pro-ss-2,adapter,FastAce AHX12RV/ALX13RC or RFLoXa FCG31/32. Talaria needs lower-bearing spacer.,https://www.rflo-xa.com/products/rfloxa-max-triple-clamp-for-fastace-ahx12rv-alx13rc-front-fork-for-surron-talaria,high,"Official: Talaria Sting MX3/MX4/MX5, Sur-Ron Light Bee, and Eride Pro"
shinko-241-275-19,e-ride-pro-ss-2,platform,19in front/rear size; confirm rim width. Sold each.,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides fitment list includes these e-moto models; size 2.75-19 PN 87-4446
shinko-241-300-16,e-ride-pro-ss-2,platform,16in rear — typically a 19/16 conversion not stock 19/19 Ultra Bee,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides same platform list; size 3.00-16 PN 87-4441
tb-moto-brake-caliper-bracket-front,e-ride-pro-ss-2,adapter,Only the Fastace-fork SS 2.0; older RST not this SKU,https://tbelectricmoto.com/products/moto-brake-conversion-kit-front-caliper-mounting-bracket,high,TB Electric: E-Ride Pro SS 2.0 (Version with Fastace fork)
volar-sport-full-brake-kit,e-ride-pro-ss-2,adapter,Order Surron vs Talaria fitment. E-Ride SS 2.0 older RST fork has own adapter; Fastace uses Surron. 14-21in wheels.,https://revrides.com/products/volar-sport-full-brake-kit-front-rear-for-e-ride-pro-sur-ron-talaria-more,high,REVRides bike fitment list names these platforms and Surron vs Talaria mount brackets
warp9-17x250-lbx-eride-79bike,e-ride-pro-ss-2,direct,Supermoto 17x2.50 both ends,https://warp9racing.com/products/surron-light-bee-eride-pro-s-ss-2-0-ventus-79-bike-falcon-19-16-wheel-set-copy-1,high,Official: same platform list as 19/16 LBX/Eride set
warp9-18-21-surron-eride,e-ride-pro-ss-2,direct,21in fork clearance still required; NOT Talaria,https://chargedcycleworks.com/products/18-21-complete-wheel-tire-combo-warp9-for-surron-segway,high,"Charged: E-Ride Pro SS 1.0/2.0, Falcon 79. NOT COMPATIBLE WITH TALARIA"
warp9-19-16-lbx-eride-79bike,e-ride-pro-ss-2,direct,Bare wheel reuses OEM rotor/sprocket bolt pattern,https://warp9racing.com/products/lbx-eride-pro-19-16-wheel-set,high,"Official: spec'd for SurRon Light Bee X, E Ride Pro S / SS / 2.0, Ventus, 79Bike Falcon"
warp9-220mm-caliper-adapter,e-ride-pro-ss-2,platform,Dealer fitment list; official page does not enumerate these,https://revrides.com/products/warp-9-220mm-rear-brake-rotor-adapter,medium,REVRides fitment list for Warp 9 220mm rear adapter
warp9-fastace-drop-crown,e-ride-pro-ss-2,adapter,Only with FastAce AHX12RV/AHX12RVP/ALX13RC. Needs direct bar mount + 220/240 rotor. Not OEM Talaria forks.,https://warp9racing.com/products/fastace-triple-clamps,high,"Official: Talaria Sting MX3/MX4, Sur-Ron Light Bee, and Eride Pro; FastAce AHX12RV & ALX13RC"
warp9-rear-420-sprocket-54t,e-ride-pro-ss-2,direct,54T needs ~110-link chain; stock chain only to 48T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-58t,e-ride-pro-ss-2,direct,58T typically ~112-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-64t,e-ride-pro-ss-2,direct,64T typically ~116-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-steerlock-stem-lock,e-ride-pro-ss-2,platform,"Dealer list, not official Warp9 tags",https://tbelectricmoto.com/products/warp-9-stem-lock,medium,"TB Electric bike fitment includes MX5, E-Ride Pro SS 1/2/3, SR"
ebmx-extended-swingarm,e-ride-pro-ss-3,direct,Charged CCW Edition variant ($889) only — not the $789 LBX/SS2.0 arm,https://chargedcycleworks.com/products/ebmx-extended-swingarm,medium,Charged variant: CCW Edition E Ride Pro 3.0 / SR
ebmx-x-9000-controller-e-ride-pro-harness-plus-mounting-kit-plus-bashguard-v3,e-ride-pro-ss-3,incompatible,,https://chargedcycleworks.com/products/x-9000-controller-eride-pro-harness-mounting-kit-and-bashguard-v3,high,vendor text: does not fit this model
ebmx-x-9000-e-ride-pro-v3-power-loom,e-ride-pro-ss-3,direct,,https://chargedcycleworks.com/products/x-9000-eride-pro-v3-power-loom,high,for updated ProSS 3.0 battery syste
ext-ferro-brake-adapter-e-ride-pro-3-0-sr,e-ride-pro-ss-3,direct,,https://chargedcycleworks.com/products/ext-ferro-brake-adapter-for-e-ride-pro-3-0-sr,high,title says EXT Ferro Brake Adapter (E-Ride Pro 3.0 / SR)
formula-e-moto-brakes,e-ride-pro-ss-3,incompatible,Factory DOT brake bikes,https://chargedcycleworks.com/products/formula-e-moto-brakes,high,"Charged: Does NOT fit E Ride Pro 3.0/SR, Talaria MX5, Altis Sigma"
warp9-steerlock-stem-lock,e-ride-pro-ss-3,platform,"Dealer list, not official Warp9 tags",https://tbelectricmoto.com/products/warp-9-stem-lock,medium,"TB Electric bike fitment includes MX5, E-Ride Pro SS 1/2/3, SR"
dunlop-mx33-70-100-19,rawrr-mantis-1,platform,Verify crown/swingarm clearance,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page fitment list; 70/100-19 called out as e-moto size
dunlop-mx33-90-100-16,rawrr-mantis-1,platform,16in rear conversion size,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page lists 90/100-16 among e-moto sizes
shinko-241-275-19,rawrr-mantis-1,platform,19in front/rear size; confirm rim width. Sold each.,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides fitment list includes these e-moto models; size 2.75-19 PN 87-4446
shinko-241-300-16,rawrr-mantis-1,platform,16in rear — typically a 19/16 conversion not stock 19/19 Ultra Bee,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides same platform list; size 3.00-16 PN 87-4441
volar-sport-full-brake-kit,rawrr-mantis-1,adapter,Order Surron vs Talaria fitment. E-Ride SS 2.0 older RST fork has own adapter; Fastace uses Surron. 14-21in wheels.,https://revrides.com/products/volar-sport-full-brake-kit-front-rear-for-e-ride-pro-sur-ron-talaria-more,high,REVRides bike fitment list names these platforms and Surron vs Talaria mount brackets
warp9-220mm-caliper-adapter,rawrr-mantis-1,platform,Dealer fitment list; official page does not enumerate these,https://revrides.com/products/warp-9-220mm-rear-brake-rotor-adapter,medium,REVRides fitment list for Warp 9 220mm rear adapter
warp9-rear-420-sprocket-54t,rawrr-mantis-1,direct,54T needs ~110-link chain; stock chain only to 48T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-58t,rawrr-mantis-1,direct,58T typically ~112-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-64t,rawrr-mantis-1,direct,64T typically ~116-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
dunlop-mx33-70-100-19,segway-x160,platform,Verify crown/swingarm clearance,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page fitment list; 70/100-19 called out as e-moto size
dunlop-mx33-90-100-16,segway-x160,platform,16in rear conversion size,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page lists 90/100-16 among e-moto sizes
ebmx-extended-swingarm,segway-x160,platform,Official EBMX copy names Segway X160/X260 with Light Bee,https://www.ebmx.com/shop/ebmx-swingarm-4694,high,EBMX: designed specifically for SurRon Light Bee / Segway X160/X260 and E Ride Pro 2.0
ewatt-74-v-45-ah-light-bee,segway-x160,direct,,,high,Compatible Models: Segway X160/X260
fastace-four-piston-kit,segway-x160,platform,Power-off sensor only on Talaria MX3/MX4; others without cut-off,https://eoffroadparts.com/products/hydraulic-disc-brakes-kit-for-talaria-mx3-r-mx4-xxx-segway-x160-x260-sur-ron-light-bee-x-79-bikes-e-ride-pro-ss,medium,"Listing: Talaria MX3/MX4/XXX, Light Bee X, X160/X260, 79Bike Falcon M, E Ride Pro-SS"
gritshift-heavy-hitter-lightning-stop,segway-x160,adapter,Bracket+rotor only; needs Brembo P32/P34 + Magura/Brembo master. Talaria spacer included.,https://revrides.com/products/heavy-hitter-lightning-stop-mx-conversion-big-brake-kit,medium,"REVRides fitment: Sur Ron LBX, Segway X260/X160, Talaria MX3/MX4/XXX, Eride Pro/SS, 79bike Falcon-M"
