part_id,category,subcategory,brand,name,product_url,price_usd,availability,voltage,key_spec,notes,source
luna-talaria-cnc-sprocket-54t,drivetrain,rear sprocket,Luna Cycle,Talaria CNC Sprocket 54T,https://lunacycle.com/talaria-cnc-sprocket-42-64-tooth/,42,available,,7075 aluminum 420; 54T; MX3/MX4 110-link chart,Luna: Talaria all models except MX5; Light Bee X; Segway 260/160. WILL NOT FIT MX5. XXX chain is 4 links shorter than MX3/MX4 chart.,lunacycle.com
luna-talaria-sting-420-oring-chain-106,drivetrain,420 chain,Luna Cycle,Talaria STING Replacement 420 O-Ring Chain 106L,https://lunacycle.com/talaria-sting-replacement-420-o-ring-chain/,30,available,,106 links + master; PN 31352-56000-000; MX4 stock length,Luna: replacement stock chain for MX4. Will NOT fit MX5 or XXX. Product titled STING so MX3 listed as platform.,lunacycle.com
luna-talaria-xxx-420-oring-chain-102,drivetrain,420 chain,Luna Cycle,Talaria XXX Pro Replacement 420 O-Ring Chain 102L,https://lunacycle.com/talaria-xxx-pro-replacement-420-o-ring-chain/,35,available,,102 links + master; PN 31351-56000-000; 48T stock,Luna: XXX on 48T. Will NOT fit MX5 or MX4.,lunacycle.com
warp9-rear-420-sprocket-54t,drivetrain,rear sprocket,Warp 9,Rear 420 Sprocket 54T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,56.99,available,,7075-T6 420; SKU family S-RSPRO; 54T needs ~110-link chain,"GritShift fitment: LBX/S, X160/X260, MX3/MX4, XXX, E Ride Pro-S/SS/2.0, Ventus ONE+, 79Bike Falcon Pro/GT, Rerode R1, Rawr Mantis X/Pro, Zero XB. Stock chain only to 48T.",gritshift.com
warp9-rear-420-sprocket-58t,drivetrain,rear sprocket,Warp 9,Rear 420 Sprocket 58T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,59.99,available,,7075-T6 420; SKU S-RSPRO-58,Same GritShift bike list as 54T. 58T typically ~112-link chain on LBX/Sting (Luna chart).,gritshift.com
warp9-rear-420-sprocket-64t,drivetrain,rear sprocket,Warp 9,Rear 420 Sprocket 64T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,68.99,available,,7075-T6 420; 64T,Same GritShift bike list. 64T typically ~116-link chain on LBX/Sting.,gritshift.com
warp9-ultra-bee-jackshaft-13t,drivetrain,jackshaft sprocket,Warp 9,Ultra Bee Jack Shaft Sprocket 13T,https://warp9racing.com/products/ultra-bee-jack-shaft-sprocket,22,backorder,,Hardened tool steel; OEM 13T; seal included; SKU S-UJSPRO-13,Official Ultra Bee. ECR: OEM jackshaft only — not EBMX competition jackshaft. Backorder noted Aug 2026 on official page.,warp9racing.com
warp9-ultra-bee-jackshaft-14t,drivetrain,jackshaft sprocket,Warp 9,Ultra Bee Jack Shaft Sprocket 14T,https://warp9racing.com/products/ultra-bee-jack-shaft-sprocket,22,backorder,,Hardened tool steel 14T; more top speed / less torque,Official Ultra Bee. Same OEM-jackshaft-only caveat.,warp9racing.com
2-0-fork,fork,front,,2.0 fork,,,,,,"junk: unnamed generic 2.0 fork placeholder, not a specific SKU",suspension
ext-ferro-fork-for-light-bee-and-talaria-sting,fork,front,EXT,EXT Ferro Fork (for Light Bee & Talaria Sting),https://chargedcycleworks.com/products/ext-ferro-fork-for-surron-talaria,,,,"- 36 mm hard-chromed 42CrMo4 stanchions, Superfinish- 205 mm travel, 44 mm offset- Twin-positive + large negative HS3 air spring | type=Front",,chargedcycleworks.com
ext-ferro-fork-plus-arma-mx-shock-bundle,fork,front,EXT,EXT Ferro Fork + Arma MX Shock BUNDLE,https://tbelectricmoto.com/products/ext-suspension-upgrade-bundle,,,,"USD 36 mm stanchions, HS3 dual-air spring, 205 mm travel, high-flow 3-way hydraulic damping (H/L speed, rebound), boost-compatible axle, ~9.9 lb weight | type=Front",,tbelectricmoto.com
ext-ferro-fork-for-surron-talaria,fork,front,EXT,EXT Ferro Fork for Surron/Talaria,https://chargedcycleworks.com/products/ext-ferro-fork-for-surron-talaria,,,,"- 36 mm hard chromed 42CrMo4 stanchions, 205 mm travel, 44 mm offset, ~4 kg | type=Front",,suspension
fastace-fork-custom-tuned-for-surron-talaria,fork,front,FastAce,FastAce Fork (custom tuned) for Surron/Talaria,https://chargedcycleworks.com/products/fastace-fork-for-surron-talaria-segway,899,,,- Stock FastAce upgraded- Fits OEM steering & fender | type=Front,,chargedcycleworks.com
fastace-gravitee-ahx12rv-plus-warp-9-triple-clamps-bundle,fork,bundle,FastAce,FastAce Gravitee AHX12RV + Warp 9 Triple Clamps Bundle,https://chargedcycleworks.com/products/fastace-gravitee-ahx12rv-warp-9-triple-clamps-suspension-bundle,899,,,• 60 lb spring for 175-220 lb riders• Uses 5 wt Motul synthetic oil• 18-step high & low-speed compression damping• SKF seals & custom laser height etching | type=Front,,suspension
kke-35-mm-upgraded-5-5-version-front-fork,fork,front,KKE,KKE 35 mm Upgraded 5.5 Version Front Fork,https://chargedcycleworks.com/products/kke-35mm-upgraded-5-5-version-front-suspension-fork-fit-surron-light-bee-e-ride-pro-ss-talaria-sting-mx3-mx4-r-collective,699,,,"• 35 mm stanchions• Coil spring (50 lb per or unspecified) • Typical travel ~? (not listed) | • Adjustable compression, rebound & preload• SKF seals; gold & black finish• Emphasizes precision handling and durability (gritshift.com) | type=Front",,suspension
kke-37-mm-aluminum-front-fork-suspension-kit,fork,front,KKE,KKE 37 mm Aluminum Front Fork Suspension Kit,https://chargedcycleworks.com/products/kke-37mm-aluminum-front-fork-suspension-kit-fit-surron-light-bee-e-ride-pro-ss-talaria-sting-mx3-mx4-r-collective,799,,,• 37 mm hard-anodized aluminum stanchions• 210 mm travel; 750 mm axle-to-crown• Weight ~5.3 kg (with triple clamps)• Coil spring 23 lb per leg (46 lb total) | type=Front,,suspension
kke-37-mm-closed-cartridge-performance-fork-ultra-bee-v6-0,fork,front,KKE,KKE 37 mm Closed Cartridge Performance Fork (Ultra Bee V6.0),https://chargedcycleworks.com/products/kke-37mm-closed-cartridge-performance-suspension-fork-for-surron-ultra-bee-version-6-0,899,,,"• Length: 850 mm• Travel: 235 mm• Weight: 6.3 kg (no triple clamp)• Stanchion: 37 mm alloy• Axle Size: 20×24 mm• Spring: 22 lbs per leg (floating 60 lbs total)• Adjustment Range: ±2 on 18-step knobs• Outer: 7050-T6 alloy, DLC/coating• Dropo | type=Front",,suspension
kke-upgraded-front-fork-suspension-for-surron-ultra-bee,fork,front,KKE,KKE Upgraded Front Fork Suspension for Surron Ultra Bee,https://chargedcycleworks.com/products/kke-front-fork-suspension-fit-surron-ultra-bee-2023-2024-collective,649,,,Fork tubes (to be installed into your existing triple clamps) | type=Front,,suspension
kke-upgraded-kke-suspension-forks-light-bee-version-gold,fork,front,KKE,Upgraded KKE Suspension Forks (Light Bee version) - Gold,https://chargedcycleworks.com/products/upgraded-kke-suspension-forks-for-surron-light-bee,949,,,"Nearly identical to Ultra Bee version:• Length: 850 mm• Travel: 235 mm• Specs match above (6.3 kg, 37 mm, etc.) | type=Front",,suspension
rfloxa-fcg31rvp-pro-fork,fork,front,RFloXa,RFloXa FCG31RVP PRO Fork,https://www.rflo-xa.com/products/rfloxa-hawk31pro-fcg31rvp-pro-228mm-travel-front-fork-for-surron-talaria-sting-light-bee-eridepross-spring-preload,,,,"- 37 mm stanchions, 750-800 mm center length, 203-228 mm travel- Caliper spacing 74 mm, 203 mm disc compatible | type=Front",,rflo-xa.com
rfloxa-hawk31-max-wide-fork,fork,front,RFloXa,RFloXa Hawk31 MAX (Wide) Fork,https://www.rflo-xa.com/products/rfloxa-hawk31-max-front-fork-for-surron-talaria-sting-spring-preload-high-and-low-speed,,,,"- 37 mm stanchions, 228 mm travel, 162 mm clamp width- Caliper spacing 74 mm, supports 203/220 mm discs | type=Front",,rflo-xa.com
sirris-f43-fork-for-surron-ultra-bee,fork,front,Sirris,Sirris F43 Fork for Surron Ultra Bee,https://chargedcycleworks.com/products/sirris-f43-fork-for-surron-ultra-bee,3123,,,"- 43 mm USD, 856 mm free length, 246 mm travel, 25 mm offset- Hard-chrome stanchions, 7000-series alloy, sealed cartridge, weighs ~22 lb (10 kg) (chargedcycleworks.com) | type=Front",,suspension
ebmx-xlb-60-core,motor,mid-drive,EBMX,XLB-60 CORE,https://www.ebmx.com/xlb-60-core,,available,48-104V,87KV; 41kW rated air-cooled; NJDC 605 encoder,"Official: SurRon Light Bee, Talaria xXx, Eride Pro SS (harness adapters). Darwin also lists Talaria X3 and E Ride Pro S/SS 2.0. X-9000 V2/V3 only.",ebmx.com
